** デバッグ
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|8|0x15|8|0x22|7|0x00|0x02D5|0x28|0xFF|0x00|0x12|
|0|0x07|9|0x27|0|0x00|0x0000|0x6A|0xFF|0xFF|0x2C|
|9|0x17|10|0x2A|8|0x00|0x0000|0x25|0xFF|0x00|0x16|
|10|0x18|11|0x23|9|0x00|0x0000|0x42|0xFF|0xFF|0x3E|
|11|0x18|12|0x23|10|0x00|0x005F|0x42|0xFF|0xFF|0x3E|
|12|0x12|13|0x63|11|0x00|0x0000|0x4D|0x00|0x00|0x2A|
|13|0x1A|14|0x23|12|0x00|0x0000|0x4A|0xFF|0xFF|0x29|
|14|0x1A|15|0x23|13|0x00|0x006A|0x4A|0xFF|0xFF|0x29|
|15|0x1B|16|0x63|14|0x00|0x02D9|0x4E|0x00|0x00|0x2A|
|0|0x0A|16|0x27|0|0x00|0x0000|0x6D|0xFF|0xFF|0x2D|

** 鬼ヶ島
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x24|1|0x02|0|0x00|0x019A|0x2A|0xFF|0x00|0x1C|
|0|0x24|2|0x0E|0|0x00|0x0000|0x26|0xFF|0x00|0x1C|
|2|0x24|3|0x0A|1|0x00|0x0000|0x2A|0xFF|0x00|0x1C|
|3|0x24|4|0x02|2|0x00|0x0000|0x2A|0xFF|0x00|0x1D|
|4|0x24|5|0x02|3|0x00|0x0000|0x2D|0xFF|0x00|0x13|
|5|0x24|6|0x02|4|0x00|0x0000|0x2D|0xFF|0x00|0x13|
|6|0x24|7|0x02|5|0x00|0x0000|0x2D|0xFF|0x00|0x13|
|7|0x24|8|0x02|6|0x00|0x0000|0x27|0xFF|0x00|0x0F|
|8|0x24|9|0x02|7|0x00|0x0000|0x27|0xFF|0x00|0x0F|
|9|0x24|10|0x02|8|0x00|0x0000|0x27|0xFF|0x00|0x0F|
|10|0x24|11|0x02|9|0x00|0x0000|0x29|0xFF|0x00|0x17|
|11|0x24|12|0x02|10|0x00|0x0000|0x29|0xFF|0x00|0x17|
|12|0x24|13|0x02|11|0x00|0x019E|0x29|0xFF|0x00|0x17|
|0|0x24|14|0x0E|0|0x00|0x0000|0x21|0xFF|0x00|0x0E|
|13|0x24|15|0x0A|12|0x00|0x0000|0x23|0xFF|0x00|0x0E|
|14|0x24|16|0x02|13|0x00|0x0000|0x23|0xFF|0x00|0x0E|
|15|0x24|17|0x02|14|0x00|0x01A6|0x23|0xFF|0x00|0x0E|
|16|0x24|18|0x4A|0|0x00|0x0000|0x79|0xFF|0xFF|0x2A|
|17|0x24|19|0x0A|16|0x00|0x0000|0x22|0xFF|0x00|0x18|
|18|0x24|20|0x02|17|0x00|0x0000|0x22|0xFF|0x00|0x18|
|19|0x24|21|0x02|18|0x00|0x0000|0x22|0xFF|0x00|0x18|
|20|0x24|22|0x02|19|0x00|0x0000|0x28|0xFF|0x00|0x11|
|21|0x24|23|0x02|20|0x00|0x0000|0x28|0xFF|0x00|0x11|
|22|0x24|24|0x02|21|0x00|0x0000|0x2C|0xFF|0x00|0x1B|
|23|0x24|25|0x02|22|0x00|0x0000|0x2C|0xFF|0x00|0x1B|
|24|0x24|26|0x02|23|0x00|0x01B2|0x2C|0xFF|0x00|0x1B|
|25|0x24|26|0x4A|0|0x00|0x0000|0x72|0xFF|0xFF|0x2B|

** 最果てへの道
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x28|1|0x01|0|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|2|0x28|2|0x01|1|0x00|0x0000|0x21|0xFF|0x03|0x44|
|3|0x28|3|0x01|2|0x00|0x0000|0x22|0xFF|0x03|0x44|
|4|0x28|4|0x01|3|0x00|0x0000|0x23|0xFF|0x00|0x44|
|5|0x28|5|0x01|4|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|6|0x28|6|0x01|5|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|7|0x28|7|0x01|6|0x00|0x0000|0x26|0xFF|0x00|0x44|
|8|0x28|8|0x01|7|0x00|0x0000|0x29|0xFF|0x00|0x44|
|9|0x28|9|0x01|8|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|10|0x28|10|0x01|9|0x00|0x0000|0x24|0xFF|0x03|0x44|
|11|0x28|11|0x01|10|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|12|0x28|12|0x01|11|0x00|0x0000|0x21|0xFF|0x00|0x44|
|13|0x28|13|0x01|12|0x00|0x0000|0x22|0xFF|0x00|0x44|
|14|0x28|14|0x01|13|0x00|0x0000|0x23|0xFF|0x03|0x44|
|15|0x28|15|0x01|14|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|16|0x28|16|0x01|15|0x00|0x0000|0x28|0xFF|0x03|0x44|
|17|0x28|17|0x01|16|0x00|0x0000|0x26|0xFF|0x03|0x44|
|18|0x28|18|0x01|17|0x00|0x0000|0x29|0xFF|0x03|0x44|
|19|0x28|19|0x01|18|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|20|0x28|20|0x01|19|0x00|0x0000|0x24|0xFF|0x00|0x44|
|21|0x28|21|0x01|20|0x00|0x0000|0x25|0xFF|0x00|0x44|
|22|0x28|22|0x01|21|0x00|0x0000|0x25|0xFF|0x03|0x44|
|23|0x28|23|0x01|22|0x00|0x0000|0x28|0xFF|0x00|0x44|
|24|0x28|24|0x01|23|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|25|0x28|25|0x01|24|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|26|0x28|26|0x01|25|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|27|0x28|27|0x01|26|0x00|0x0000|0x30|0xFF|0x00|0x44|
|28|0x28|28|0x01|27|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|29|0x28|29|0x01|28|0x00|0x04B0|0x2E|0xFF|0x00|0x44|
|30|0x28|30|0x01|29|0x00|0x0000|0x21|0xFF|0x03|0x44|
|31|0x28|31|0x01|30|0x00|0x0000|0x22|0xFF|0x03|0x44|
|32|0x28|32|0x01|31|0x00|0x0000|0x23|0xFF|0x00|0x44|
|33|0x28|33|0x01|32|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|34|0x28|34|0x01|33|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|35|0x28|35|0x01|34|0x00|0x0000|0x26|0xFF|0x00|0x44|
|36|0x28|36|0x01|35|0x00|0x0000|0x29|0xFF|0x00|0x44|
|37|0x28|37|0x01|36|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|38|0x28|38|0x01|37|0x00|0x0000|0x24|0xFF|0x03|0x44|
|39|0x28|39|0x01|38|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|40|0x28|40|0x01|39|0x00|0x0000|0x21|0xFF|0x00|0x44|
|41|0x28|41|0x01|40|0x00|0x0000|0x22|0xFF|0x00|0x44|
|42|0x28|42|0x01|41|0x00|0x0000|0x23|0xFF|0x03|0x44|
|43|0x28|43|0x01|42|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|44|0x28|44|0x01|43|0x00|0x0000|0x28|0xFF|0x03|0x44|
|45|0x28|45|0x01|44|0x00|0x0000|0x26|0xFF|0x03|0x44|
|46|0x28|46|0x01|45|0x00|0x0000|0x29|0xFF|0x03|0x44|
|47|0x28|47|0x01|46|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|48|0x28|48|0x01|47|0x00|0x0000|0x24|0xFF|0x00|0x44|
|49|0x28|49|0x01|48|0x00|0x04B0|0x25|0xFF|0x00|0x44|
|50|0x28|50|0x01|49|0x00|0x0000|0x25|0xFF|0x03|0x44|
|51|0x28|51|0x01|50|0x00|0x0000|0x28|0xFF|0x00|0x44|
|52|0x28|52|0x01|51|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|53|0x28|53|0x01|52|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|54|0x28|54|0x01|53|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|55|0x28|55|0x01|54|0x00|0x0000|0x30|0xFF|0x00|0x44|
|56|0x28|56|0x01|55|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|57|0x28|57|0x01|56|0x00|0x0000|0x23|0xFF|0x00|0x44|
|58|0x28|58|0x01|57|0x00|0x0000|0x27|0xFF|0x03|0x44|
|59|0x28|59|0x01|58|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|60|0x28|60|0x01|59|0x00|0x0000|0x21|0xFF|0x00|0x44|
|61|0x28|61|0x01|60|0x00|0x0000|0x28|0xFF|0x03|0x44|
|62|0x28|62|0x01|61|0x00|0x0000|0x25|0xFF|0x03|0x44|
|63|0x28|63|0x01|62|0x00|0x0000|0x25|0xFF|0x00|0x44|
|64|0x28|64|0x01|63|0x00|0x0000|0x24|0xFF|0x03|0x44|
|65|0x28|65|0x01|64|0x00|0x0000|0x24|0xFF|0x00|0x44|
|66|0x28|66|0x01|65|0x00|0x0000|0x26|0xFF|0x00|0x44|
|67|0x28|67|0x01|66|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|68|0x28|68|0x01|67|0x00|0x0000|0x2F|0xFF|0x03|0x44|
|69|0x28|69|0x01|68|0x00|0x04B0|0x30|0xFF|0x00|0x44|
|70|0x28|70|0x01|69|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|71|0x28|71|0x01|70|0x00|0x0000|0x22|0xFF|0x03|0x44|
|72|0x28|72|0x01|71|0x00|0x0000|0x23|0xFF|0x00|0x44|
|73|0x28|73|0x01|72|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|74|0x28|74|0x01|73|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|75|0x28|75|0x01|74|0x00|0x0000|0x26|0xFF|0x00|0x44|
|76|0x28|76|0x01|75|0x00|0x0000|0x29|0xFF|0x00|0x44|
|77|0x28|77|0x01|76|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|78|0x28|78|0x01|77|0x00|0x0000|0x24|0xFF|0x03|0x44|
|79|0x28|79|0x01|78|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|80|0x28|80|0x01|79|0x00|0x0000|0x21|0xFF|0x00|0x44|
|81|0x28|81|0x01|80|0x00|0x0000|0x22|0xFF|0x00|0x44|
|82|0x28|82|0x01|81|0x00|0x0000|0x23|0xFF|0x03|0x44|
|83|0x28|83|0x01|82|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|84|0x28|84|0x01|83|0x00|0x0000|0x28|0xFF|0x03|0x44|
|85|0x28|85|0x01|84|0x00|0x0000|0x26|0xFF|0x03|0x44|
|86|0x28|86|0x01|85|0x00|0x0000|0x29|0xFF|0x03|0x44|
|87|0x28|87|0x01|86|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|88|0x28|88|0x01|87|0x00|0x0000|0x24|0xFF|0x00|0x44|
|89|0x28|89|0x01|88|0x00|0x0000|0x25|0xFF|0x00|0x44|
|90|0x28|90|0x01|89|0x00|0x0000|0x25|0xFF|0x03|0x44|
|91|0x28|91|0x01|90|0x00|0x0000|0x28|0xFF|0x00|0x44|
|92|0x28|92|0x01|91|0x00|0x0000|0x2C|0xFF|0x03|0x44|
|93|0x28|93|0x01|92|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|94|0x28|94|0x01|93|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|95|0x28|95|0x01|94|0x00|0x0000|0x30|0xFF|0x00|0x44|
|96|0x28|96|0x01|95|0x00|0x0000|0x2F|0xFF|0x00|0x44|
|97|0x28|97|0x01|96|0x00|0x0000|0x23|0xFF|0x00|0x44|
|98|0x28|98|0x01|97|0x00|0x0000|0x2C|0xFF|0x00|0x44|
|99|0x28|99|0x01|98|0x00|0x0215|0x28|0xFF|0x00|0x44|
|0|0x2B|99|0x27|98|0x00|0x0000|0x7B|0xFF|0xFF|0xFF|

** 中腹の井戸
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x25|1|0x01|0|0x00|0x0000|0x24|0xFF|0x03|0x44|
|2|0x25|2|0x01|1|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|3|0x25|3|0x01|2|0x00|0x0000|0x25|0xFF|0x03|0x44|
|4|0x25|4|0x01|3|0x00|0x0000|0x26|0xFF|0x03|0x44|
|5|0x25|5|0x01|4|0x00|0x0000|0x29|0xFF|0x03|0x44|
|6|0x25|6|0x01|5|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|7|0x25|7|0x01|6|0x00|0x0000|0x24|0xFF|0x00|0x44|
|8|0x25|8|0x01|7|0x00|0x0000|0x25|0xFF|0x00|0x44|
|9|0x25|9|0x01|8|0x00|0x04AD|0x26|0xFF|0x00|0x44|
|10|0x25|10|0x01|9|0x00|0x04AD|0x29|0xFF|0x00|0x44|
|11|0x25|11|0x01|10|0x00|0x04AD|0x2D|0xFF|0x00|0x44|
|12|0x25|12|0x01|11|0x00|0x04AD|0x23|0xFF|0x00|0x44|
|13|0x25|13|0x01|12|0x00|0x04AD|0x27|0xFF|0x00|0x44|
|14|0x25|14|0x01|13|0x00|0x04AD|0x28|0xFF|0x00|0x44|
|15|0x25|15|0x01|14|0x00|0x04AD|0x30|0xFF|0x00|0x44|
|16|0x25|16|0x01|15|0x00|0x04AD|0x2D|0xFF|0x03|0x44|
|17|0x25|17|0x01|16|0x00|0x04AD|0x23|0xFF|0x03|0x44|
|18|0x25|18|0x01|17|0x00|0x04AD|0x27|0xFF|0x03|0x44|
|19|0x25|19|0x01|18|0x00|0x04AD|0x28|0xFF|0x03|0x44|
|20|0x25|20|0x01|19|0x00|0x04AD|0x30|0xFF|0x03|0x44|
|21|0x25|21|0x01|20|0x00|0x04AD|0x24|0xFF|0x03|0x44|
|22|0x25|22|0x01|21|0x00|0x04AD|0x2A|0xFF|0x00|0x44|
|23|0x25|23|0x01|22|0x00|0x04AD|0x25|0xFF|0x03|0x44|
|24|0x25|24|0x01|23|0x00|0x04AD|0x26|0xFF|0x03|0x44|
|25|0x25|25|0x01|24|0x00|0x04AD|0x29|0xFF|0x03|0x44|
|26|0x25|26|0x01|25|0x00|0x04AD|0x2A|0xFF|0x03|0x44|
|27|0x25|27|0x01|26|0x00|0x04AD|0x24|0xFF|0x00|0x44|
|28|0x25|28|0x01|27|0x00|0x04AD|0x25|0xFF|0x00|0x44|
|29|0x25|29|0x01|28|0x00|0x04AD|0x26|0xFF|0x00|0x44|
|30|0x25|30|0x01|29|0x00|0x04AD|0x29|0xFF|0x00|0x44|
|31|0x25|31|0x01|30|0x00|0x04AD|0x2D|0xFF|0x00|0x44|
|32|0x25|32|0x01|31|0x00|0x04AD|0x23|0xFF|0x00|0x44|
|33|0x25|33|0x01|32|0x00|0x04AD|0x27|0xFF|0x00|0x44|
|34|0x25|34|0x01|33|0x00|0x04AD|0x28|0xFF|0x00|0x44|
|35|0x25|35|0x01|34|0x00|0x04AD|0x30|0xFF|0x00|0x44|
|36|0x25|36|0x01|35|0x00|0x04AD|0x2D|0xFF|0x03|0x44|
|37|0x25|37|0x01|36|0x00|0x04AD|0x23|0xFF|0x03|0x44|
|38|0x25|38|0x01|37|0x00|0x04AD|0x27|0xFF|0x03|0x44|
|39|0x25|39|0x01|38|0x00|0x04AD|0x28|0xFF|0x03|0x44|
|40|0x25|40|0x01|39|0x00|0x04AD|0x30|0xFF|0x03|0x44|
|41|0x25|41|0x01|40|0x00|0x04AD|0x2E|0xFF|0x00|0x44|
|42|0x25|42|0x01|41|0x00|0x04AD|0x21|0xFF|0x00|0x44|
|43|0x25|43|0x01|42|0x00|0x04AD|0x22|0xFF|0x00|0x44|
|44|0x25|44|0x01|43|0x00|0x04AD|0x26|0xFF|0x00|0x44|
|45|0x25|45|0x01|44|0x00|0x04AD|0x29|0xFF|0x00|0x44|
|46|0x25|46|0x01|45|0x00|0x04AD|0x25|0xFF|0x00|0x44|
|47|0x25|47|0x01|46|0x00|0x04AD|0x24|0xFF|0x00|0x44|
|48|0x25|48|0x01|47|0x00|0x04AD|0x2A|0xFF|0x00|0x44|
|49|0x25|49|0x01|48|0x00|0x04AD|0x2B|0xFF|0x00|0x44|
|50|0x25|50|0x01|49|0x00|0x04AD|0x2C|0xFF|0x00|0x44|
|51|0x25|51|0x01|50|0x00|0x04AD|0x2E|0xFF|0x03|0x44|
|52|0x25|52|0x01|51|0x00|0x04AD|0x21|0xFF|0x03|0x44|
|53|0x25|53|0x01|52|0x00|0x04AD|0x22|0xFF|0x03|0x44|
|54|0x25|54|0x01|53|0x00|0x04AD|0x26|0xFF|0x03|0x44|
|55|0x25|55|0x01|54|0x00|0x04AD|0x29|0xFF|0x03|0x44|
|56|0x25|56|0x01|55|0x00|0x04AD|0x25|0xFF|0x03|0x44|
|57|0x25|57|0x01|56|0x00|0x04AD|0x24|0xFF|0x03|0x44|
|58|0x25|58|0x01|57|0x00|0x04AD|0x2A|0xFF|0x03|0x44|
|59|0x25|59|0x01|58|0x00|0x04AD|0x2B|0xFF|0x03|0x44|
|60|0x25|60|0x01|59|0x00|0x04AD|0x2C|0xFF|0x03|0x44|
|61|0x25|61|0x01|60|0x00|0x04AD|0x2F|0xFF|0x00|0x44|
|62|0x25|62|0x01|61|0x00|0x04AD|0x30|0xFF|0x00|0x44|
|63|0x25|63|0x01|62|0x00|0x04AD|0x2D|0xFF|0x03|0x44|
|64|0x25|64|0x01|63|0x00|0x04AD|0x23|0xFF|0x00|0x44|
|65|0x25|65|0x01|64|0x00|0x04AD|0x27|0xFF|0x00|0x44|
|66|0x25|66|0x01|65|0x00|0x04AD|0x26|0xFF|0x03|0x44|
|67|0x25|67|0x01|66|0x00|0x04AD|0x22|0xFF|0x00|0x44|
|68|0x25|68|0x01|67|0x00|0x04AD|0x28|0xFF|0x00|0x44|
|69|0x25|69|0x01|68|0x00|0x04AD|0x2E|0xFF|0x03|0x44|
|70|0x25|70|0x01|69|0x00|0x04AD|0x21|0xFF|0x00|0x44|
|71|0x25|71|0x01|70|0x00|0x04AD|0x2F|0xFF|0x03|0x44|
|72|0x25|72|0x01|71|0x00|0x04AD|0x30|0xFF|0x03|0x44|
|73|0x25|73|0x01|72|0x00|0x04AD|0x2D|0xFF|0x00|0x44|
|74|0x25|74|0x01|73|0x00|0x04AD|0x23|0xFF|0x03|0x44|
|75|0x25|75|0x01|74|0x00|0x04AD|0x27|0xFF|0x03|0x44|
|76|0x25|76|0x01|75|0x00|0x04AD|0x26|0xFF|0x00|0x44|
|77|0x25|77|0x01|76|0x00|0x04AD|0x22|0xFF|0x03|0x44|
|78|0x25|78|0x01|77|0x00|0x04AD|0x28|0xFF|0x03|0x44|
|79|0x25|79|0x01|78|0x00|0x04AD|0x2E|0xFF|0x00|0x44|
|80|0x25|80|0x01|79|0x00|0x04AD|0x21|0xFF|0x03|0x44|
|81|0x25|81|0x01|80|0x00|0x04AD|0x2F|0xFF|0x00|0x44|
|82|0x25|82|0x01|81|0x00|0x04AD|0x2D|0xFF|0x00|0x44|
|83|0x25|83|0x01|82|0x00|0x04AD|0x28|0xFF|0x00|0x44|
|84|0x25|84|0x01|83|0x00|0x04AD|0x30|0xFF|0x00|0x44|
|85|0x25|85|0x01|84|0x00|0x04AD|0x27|0xFF|0x00|0x44|
|86|0x25|86|0x01|85|0x00|0x04AD|0x2E|0xFF|0x03|0x44|
|87|0x25|87|0x01|86|0x00|0x04AD|0x26|0xFF|0x03|0x44|
|88|0x25|88|0x01|87|0x00|0x04AD|0x2B|0xFF|0x00|0x44|
|89|0x25|89|0x01|88|0x00|0x04AD|0x23|0xFF|0x00|0x44|
|90|0x25|90|0x01|89|0x00|0x04AD|0x27|0xFF|0x00|0x44|
|91|0x25|91|0x01|90|0x00|0x04AD|0x29|0xFF|0x00|0x44|
|92|0x25|92|0x01|91|0x00|0x04AD|0x26|0xFF|0x00|0x44|
|93|0x25|93|0x01|92|0x00|0x04AD|0x25|0xFF|0x00|0x44|
|94|0x25|94|0x01|93|0x00|0x04AD|0x25|0xFF|0x03|0x44|
|95|0x25|95|0x01|94|0x00|0x04AD|0x28|0xFF|0x00|0x44|
|96|0x25|96|0x01|95|0x00|0x04AD|0x2C|0xFF|0x00|0x44|
|97|0x25|97|0x01|96|0x00|0x04AD|0x2C|0xFF|0x03|0x44|
|98|0x25|98|0x01|97|0x00|0x04AD|0x24|0xFF|0x03|0x44|
|99|0x25|99|0x01|98|0x00|0x04AD|0x2E|0xFF|0x00|0x44|
|99|0x25|100|0x01|98|0x00|0x04AD|0x22|0xFF|0x03|0x44|
|99|0x25|101|0x01|98|0x00|0x04AD|0x29|0xFF|0x00|0x44|
|99|0x25|102|0x01|98|0x00|0x04AD|0x28|0xFF|0x00|0x44|
|99|0x25|103|0x01|98|0x00|0x04AD|0x26|0xFF|0x00|0x44|
|99|0x25|104|0x01|98|0x00|0x04AD|0x2D|0xFF|0x00|0x44|
|99|0x25|105|0x01|98|0x00|0x04AD|0x23|0xFF|0x03|0x44|
|99|0x25|106|0x01|98|0x00|0x04AD|0x24|0xFF|0x00|0x44|
|99|0x25|107|0x01|98|0x00|0x04AD|0x25|0xFF|0x00|0x44|
|99|0x25|108|0x01|98|0x00|0x04AD|0x25|0xFF|0x03|0x44|
|99|0x25|99|0x01|98|0x00|0x04AD|0x2E|0xFF|0x00|0x44|

** 神社の隠し穴
|表階|階名|次階|フ型|怪物|06|イベント|地形型|10|階型|音楽|h
|1|0x26|1|0x01|0|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|2|0x26|2|0x01|1|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|3|0x26|3|0x01|2|0x00|0x0000|0x27|0xFF|0x03|0x44|
|4|0x26|4|0x01|3|0x00|0x0000|0x23|0xFF|0x00|0x44|
|5|0x26|5|0x01|4|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|6|0x26|6|0x01|5|0x00|0x0000|0x2D|0xFF|0x03|0x44|
|7|0x26|7|0x01|6|0x00|0x0000|0x2B|0xFF|0x03|0x44|
|8|0x26|8|0x01|7|0x00|0x0000|0x27|0xFF|0x00|0x44|
|9|0x26|9|0x01|8|0x00|0x04AE|0x23|0xFF|0x03|0x44|
|10|0x26|10|0x01|9|0x00|0x0000|0x2E|0xFF|0x03|0x44|
|11|0x26|11|0x01|10|0x00|0x0000|0x22|0xFF|0x00|0x44|
|12|0x26|12|0x01|11|0x00|0x0000|0x21|0xFF|0x00|0x44|
|13|0x26|13|0x01|12|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|14|0x26|14|0x01|13|0x00|0x0000|0x29|0xFF|0x00|0x44|
|15|0x26|15|0x01|14|0x00|0x0000|0x25|0xFF|0x00|0x44|
|16|0x26|16|0x01|15|0x00|0x0000|0x22|0xFF|0x03|0x44|
|17|0x26|17|0x01|16|0x00|0x0000|0x21|0xFF|0x03|0x44|
|18|0x26|18|0x01|17|0x00|0x0000|0x2A|0xFF|0x03|0x44|
|19|0x26|19|0x01|18|0x00|0x04AE|0x29|0xFF|0x03|0x44|
|20|0x26|20|0x01|19|0x00|0x0000|0x25|0xFF|0x03|0x44|
|21|0x26|21|0x01|20|0x00|0x0000|0x2D|0xFF|0x00|0x44|
|22|0x26|22|0x01|21|0x00|0x0000|0x2B|0xFF|0x00|0x44|
|23|0x26|23|0x01|22|0x00|0x0000|0x27|0xFF|0x03|0x44|
|24|0x26|24|0x01|23|0x00|0x0000|0x24|0xFF|0x00|0x44|
|25|0x26|25|0x01|24|0x00|0x0000|0x2E|0xFF|0x00|0x44|
|26|0x26|26|0x01|25|0x00|0x0000|0x22|0xFF|0x00|0x44|
|27|0x26|27|0x01|26|0x00|0x0000|0x21|0xFF|0x00|0x44|
|28|0x26|28|0x01|27|0x00|0x0000|0x2A|0xFF|0x00|0x44|
|29|0x26|29|0x01|28|0x00|0x0000|0x29|0xFF|0x00|0x44|
|30|0x26|30|0x01|29|0x00|0x0000|0x28|0xFF|0x00|0x44|
