|モンスター名|HP|攻撃|守備|覚醒率|速|種1|種2|経験値|睡眠タイプ|落率|ランダムドロップ&br;の有無|固定ドロップ|HP+|攻+|成長|アイコン|特技率|A|B||A内容|B内容|h
|~ンドゥバ|23|10|7|0|1|0|0|16|1|0|1|0x00|1|1|15|3|0|0|0|0|||
|~ンドゥバ2才|26|11|8|0|1|0|0|17|1|0|1|0x00|1|1|20|3|0|0|0|0|||
|~ンドゥバ3才|28|12|9|0|1|0|0|18|1|0|1|0x00|1|1|21|3|0|0|0|0|||
|~ンドゥバ4才|30|13|10|0|1|0|0|19|1|0|1|0x00|1|1|22|3|0|0|0|0|||
|~ンドゥバ5才|32|14|11|0|1|0|0|20|1|0|1|0x00|1|1|23|3|0|0|0|0|||
|~ンドゥバ6才|34|15|12|0|1|0|0|21|1|0|1|0x00|1|1|24|3|0|0|0|0|||
|~ンドゥバ7才|36|16|13|0|1|0|0|22|1|0|1|0x00|1|1|25|3|0|0|0|0|||
|~ンドゥバ8才|38|17|14|0|1|0|0|23|1|0|1|0x00|1|1|26|3|0|0|0|0|||
|~ンドゥバ9才|40|18|15|0|1|0|0|24|1|0|1|0x00|1|1|27|3|0|0|0|0|||
|~ンドゥバ10才|43|19|16|0|1|0|0|25|1|0|1|0x00|1|1|28|3|0|0|0|0|||
|~ンドゥバ11才|45|20|17|0|1|0|0|26|1|0|1|0x00|1|1|29|3|0|0|0|0|||
|~ンドゥバ12才|49|21|18|0|1|0|0|27|1|0|1|0x00|1|1|30|3|0|0|0|0|||
|~ンドゥバ13才|52|22|19|0|1|0|0|28|1|0|1|0x00|1|1|31|3|0|0|0|0|||
|~ンドゥバ14才|55|23|20|0|1|0|0|29|1|0|1|0x00|1|1|32|3|0|0|0|0|||
|~ンドゥバ15才|57|24|22|0|1|0|0|30|1|0|1|0x00|1|1|33|3|0|0|0|0|||
|~ンドゥバ16才|59|25|21|0|1|0|0|31|1|0|1|0x00|1|1|34|3|0|0|0|0|||
|~ンドゥバ17才|61|26|22|0|1|0|0|32|1|0|1|0x00|1|1|35|3|0|0|0|0|||
|~ンドゥバ18才|63|27|23|0|1|0|0|33|1|0|1|0x00|1|1|36|3|0|0|0|0|||
|~ンドゥバ19才|65|28|24|0|1|0|0|34|1|0|1|0x00|1|1|37|3|0|0|0|0|||
|~ンドゥバはたち|67|29|25|0|1|0|0|35|1|0|1|0x00|1|1|38|3|0|0|0|0|||
|~ンドゥバ21才|69|30|26|0|1|0|0|36|1|0|1|0x00|1|1|39|3|0|0|0|0|||
|~ンドゥバ22才|71|31|27|0|1|0|0|37|1|0|1|0x00|1|1|40|3|0|0|0|0|||
|~ンドゥバ23才|73|32|28|0|1|0|0|38|1|0|1|0x00|1|1|41|3|0|0|0|0|||
|~ンドゥバ24才|75|33|29|0|1|0|0|39|1|0|1|0x00|1|1|42|3|0|0|0|0|||
|~ンドゥバ25才|76|34|30|0|1|0|0|40|1|0|1|0x00|1|1|43|3|0|0|0|0|||
|~ンドゥバ26才|77|35|31|0|1|0|0|20|1|0|1|0x00|1|1|44|3|0|0|0|0|||
|~ンドゥバ27才|78|36|32|0|1|0|0|20|1|0|1|0x00|1|1|45|3|0|0|0|0|||
|~ンドゥバ28才|79|37|33|0|1|0|0|20|1|0|1|0x00|1|1|46|3|0|0|0|0|||
|~ンドゥバ29才|80|38|34|0|1|0|0|20|1|0|1|0x00|1|1|47|3|0|0|0|0|||
|~ンドゥバみそじ|81|39|35|0|1|0|0|20|1|0|1|0x00|1|1|48|3|0|0|0|0|||
|~ンドゥバ31才|82|40|36|0|1|0|0|20|1|0|1|0x00|1|1|49|3|0|0|0|0|||
|~ンドゥバ32才|83|41|37|0|1|0|0|20|1|0|1|0x00|1|1|50|3|0|0|0|0|||
|~ンドゥバ33才|84|42|38|0|1|0|0|20|1|0|1|0x00|1|1|51|3|0|0|0|0|||
|~ンドゥバ34才|85|43|39|0|1|0|0|20|1|0|1|0x00|1|1|52|3|0|0|0|0|||
|~ンドゥバ35才|86|44|40|0|1|0|0|20|1|0|1|0x00|1|1|53|3|0|0|0|0|||
|~ンドゥバ36才|87|45|40|0|1|0|0|20|1|0|1|0x00|1|1|54|3|0|0|0|0|||
|~ンドゥバ37才|88|46|40|0|1|0|0|20|1|0|1|0x00|1|1|55|3|0|0|0|0|||
|~ンドゥバ38才|89|47|40|0|1|0|0|20|1|0|1|0x00|1|1|56|3|0|0|0|0|||
|~ンドゥバ39才|90|48|40|0|1|0|0|20|1|0|1|0x00|1|1|57|3|0|0|0|0|||
|~ンドゥバ40才|91|49|40|0|1|0|0|20|1|0|1|0x00|1|1|58|3|0|0|0|0|||
|~ンドゥバ41才|92|50|40|0|1|0|0|20|1|0|1|0x00|1|1|59|3|0|0|0|0|||
|~ンドゥバ42才|93|51|40|0|1|0|0|20|1|0|1|0x00|1|1|60|3|0|0|0|0|||
|~ンドゥバ43才|94|52|40|0|1|0|0|20|1|0|1|0x00|1|1|59|3|0|0|0|0|||
|~ンドゥバ44才|95|54|40|0|1|0|0|20|1|0|1|0x00|1|1|58|3|0|0|0|0|||
|~ンドゥバ45才|96|56|45|0|1|0|0|20|1|0|1|0x00|1|1|57|3|0|0|0|0|||
|~ンドゥバ46才|97|58|45|0|1|0|0|20|1|0|1|0x00|1|1|56|3|0|0|0|0|||
|~ンドゥバ47才|98|60|45|0|1|0|0|20|1|0|1|0x00|1|1|55|3|0|0|0|0|||
|~ンドゥバ48才|99|62|45|0|1|0|0|20|1|0|1|0x00|1|1|54|3|0|0|0|0|||
|~ンドゥバ49才|100|64|45|0|1|0|0|20|1|0|1|0x00|1|1|53|3|0|0|0|0|||
|~ンドゥバ50才|100|66|45|0|1|0|0|20|1|0|1|0x00|1|1|52|3|0|0|0|0|||
|~ンドゥバ51才|100|68|45|0|1|0|0|20|1|0|1|0x00|1|1|51|3|0|0|0|0|||
|~ンドゥバ52才|100|70|45|0|1|0|0|20|1|0|1|0x00|1|1|50|3|0|0|0|0|||
|~ンドゥバ53才|100|72|45|0|1|0|0|20|1|0|1|0x00|1|1|49|3|0|0|0|0|||
|~ンドゥバ54才|100|74|45|0|1|0|0|20|1|0|1|0x00|1|1|48|3|0|0|0|0|||
|~ンドゥバ55才|100|76|45|0|1|0|0|20|1|0|1|0x00|1|1|47|3|0|0|0|0|||
|~ンドゥバ56才|100|78|45|0|1|0|0|20|1|0|1|0x00|1|1|46|3|0|0|0|0|||
|~ンドゥバ57才|100|80|45|0|1|0|0|20|1|0|1|0x00|1|1|45|3|0|0|0|0|||
|~ンドゥバ58才|100|82|45|0|1|0|0|20|1|0|1|0x00|1|1|44|3|0|0|0|0|||
|~ンドゥバ59才|100|84|45|0|1|0|0|20|1|0|1|0x00|1|1|43|3|0|0|0|0|||
|~ンドゥバかんれき|100|86|45|0|2|0|0|20|1|0|1|0x00|1|1|42|3|0|0|0|0|||
|~ンドゥバ61才|100|88|45|0|2|0|0|20|1|0|1|0x00|1|1|41|3|0|0|0|0|||
|~ンドゥバ62才|100|90|45|0|2|0|0|20|1|0|1|0x00|1|1|40|3|0|0|0|0|||
|~ンドゥバ63才|100|92|45|0|2|0|0|20|1|0|1|0x00|1|1|39|3|0|0|0|0|||
|~ンドゥバ64才|100|94|45|0|2|0|0|20|1|0|1|0x00|1|1|38|3|0|0|0|0|||
|~ンドゥバ65才|100|96|50|0|2|0|0|20|1|0|1|0x00|1|1|37|3|0|0|0|0|||
|~ンドゥバ66才|100|98|50|0|2|0|0|20|1|0|1|0x00|1|1|36|3|0|0|0|0|||
|~ンドゥバ67才|100|100|50|0|2|0|0|20|1|0|1|0x00|1|1|35|3|0|0|0|0|||
|~ンドゥバ68才|100|102|50|0|2|0|0|20|1|0|1|0x00|1|1|34|3|0|0|0|0|||
|~ンドゥバ69才|100|104|50|0|2|0|0|20|1|0|1|0x00|1|1|33|3|0|0|0|0|||
|~ンドゥバこき|100|106|50|0|2|0|0|20|1|0|1|0x00|1|1|32|3|0|0|0|0|||
|~ンドゥバ71才|100|108|50|0|2|0|0|20|1|0|1|0x00|1|1|20|3|0|0|0|0|||
|~ンドゥバ72才|100|110|50|0|2|0|0|20|1|0|1|0x00|1|1|19|3|0|0|0|0|||
|~ンドゥバ73才|100|112|50|0|2|0|0|20|1|0|1|0x00|1|1|18|3|0|0|0|0|||
|~ンドゥバ74才|100|114|50|0|2|0|0|20|1|0|1|0x00|1|1|17|3|0|0|0|0|||
|~ンドゥバ75才|100|116|50|0|2|0|0|20|1|0|1|0x00|1|1|16|3|0|0|0|0|||
|~ンドゥバ76才|100|118|50|0|2|0|0|20|1|0|1|0x00|1|1|15|3|0|0|0|0|||
|~ンドゥバきじゅ|100|120|50|0|2|0|0|20|1|0|1|0x00|1|1|14|3|0|0|0|0|||
|~ンドゥバ78才|100|121|50|0|1|0|0|20|1|0|1|0x00|1|1|13|3|0|0|0|0|||
|~ンドゥバ79才|100|122|50|0|1|0|0|20|1|0|1|0x00|1|1|12|3|0|0|0|0|||
|~ンドゥバ80才|100|123|50|0|1|0|0|20|1|0|1|0x00|1|1|11|3|0|0|0|0|||
|~ンドゥバ81才|100|124|50|0|1|0|0|20|1|0|1|0x00|1|1|10|3|0|0|0|0|||
|~ンドゥバ82才|100|125|50|0|1|0|0|20|1|0|1|0x00|1|1|9|3|0|0|0|0|||
|~ンドゥバ83才|100|126|50|0|1|0|0|20|1|0|1|0x00|1|1|8|3|0|0|0|0|||
|~ンドゥバ84才|100|127|50|0|1|0|0|20|1|0|1|0x00|1|1|7|3|0|0|0|0|||
|~ンドゥバ85才|100|128|50|0|1|0|0|20|1|0|1|0x00|1|1|6|3|0|0|0|0|||
|~ンドゥバ86才|100|129|50|0|1|0|0|20|1|0|1|0x00|1|1|5|3|0|0|0|0|||
|~ンドゥバ87才|100|130|50|0|1|0|0|4000|1|0|1|0x00|1|1|4|3|0|0|0|0|||
|~ンドゥバべいじゅ|100|130|50|0|1|0|0|4500|1|0|1|0x00|1|1|3|3|0|0|0|0|||
|~ンドゥバ89才|100|120|40|0|1|0|0|4000|1|0|1|0x00|1|1|2|3|0|0|0|0|||
|~ンドゥバそつじゅ|100|100|20|0|1|0|0|2500|1|0|1|0x00|1|1|1|3|0|0|0|0|||
|~ンドゥバ91才|50|50|10|0|1|0|0|9|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ92才|25|20|8|0|1|0|0|8|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ93才|12|10|7|0|1|0|0|7|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ94才|10|6|6|0|1|0|0|6|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ95才|9|5|5|0|1|0|0|5|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ96才|8|4|4|0|1|0|0|4|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ97才|7|3|3|0|1|0|0|3|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバ98才|6|2|2|0|1|0|0|2|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~ンドゥバはくじゅ|1|1|1|0|0|0|0|1|1|0|1|0x00|0|0|0|3|0|0|0|0|||
|~プチフェニックス|75|23|29|100|1|0|128|350|5|3|1|0x00|2|1|10|2|50|50|10|0|回復量|範囲|
|~シャーガ|37|19|18|70|1|8|72|35|4|16|1|0x00|1|3|15|4|0|1|3|0|攻回数|のりうつり攻回数|
|~ナシャーガ|85|36|50|70|1|8|72|1150|5|8|1|0x00|1|3|10|4|0|2|4|0|攻回数|のりうつり攻回数|
|~ラシャーガ|100|58|63|70|1|8|72|1500|5|8|1|0x00|1|3|5|4|0|3|5|0|攻回数|のりうつり攻回数|
|~シューベル|45|18|23|75|1|0|0|100|5|4|1|0x00|2|1|10|2|40|0|0|0|||
|~メンベルス|60|50|49|75|1|0|0|1600|5|2|1|0x00|2|1|10|2|30|0|0|0|||
|~ベルトーベン|80|55|40|75|1|0|0|1900|5|2|1|0x00|2|1|10|2|20|0|0|0|||
|~パコレプキン|38|20|16|100|1|0|4|50|5|0|1|0x00|1|5|15|3|0|0|0|0|||
|~パコレプキーナ|50|24|18|100|1|0|4|60|5|0|1|0x00|1|5|15|3|0|0|0|0|||
|~パコレプキング|80|60|43|100|1|0|4|950|5|0|1|0x00|1|5|15|3|0|0|0|0|||
|~ワラドール|25|13|15|75|1|0|0|14|4|4|1|0x00|2|1|50|3|19|0|0|0|||
|~クギワラドール|80|42|50|75|1|0|0|800|5|2|1|0x00|2|1|50|3|25|0|0|0|||
|~ゴスンドール|100|66|54|75|1|0|0|1650|5|2|1|0x00|2|1|50|3|15|0|0|0|||
|~ハラヘリーニョ|15|9|10|75|1|0|2|11|4|2|1|0x00|1|1|50|2|35|5|5|0|満腹度-|満腹度+|
|~ハラヘリータ|52|18|22|75|1|0|2|50|5|2|1|0x00|1|1|50|2|35|10|7|0|満腹度-|満腹度+|
|~ハラヘッリオ|80|40|43|75|1|0|2|810|5|8|1|0x00|1|1|50|2|20|30|9|0|満腹度-|満腹度+|
|~ハラベルト|70|48|49|75|1|0|2|1300|5|5|1|0x00|1|1|50|2|18|5|11|0|最大満腹度-|満腹度+|
|~マルジロウ|12|8|8|60|1|0|0|9|5|3|1|0x00|2|5|5|2|25|1|4|0|マス|ダメ|
|~マルジロウ兄|13|9|11|75|1|0|0|11|5|3|1|0x00|2|5|5|2|30|2|6|0|マス|ダメ|
|~マルジロウ父|70|37|37|75|1|0|0|700|5|3|1|0x00|2|5|10|2|35|3|10|0|マス|ダメ|
|~かんにんぶくろ|120|16|15|75|1|16|0|200|5|1|1|0x00|4|1|30|3|0|30|0|0|行動しなくなるHP||
|~ものまね仮面|20|5|5|100|1|0|0|10|5|1|1|0x00|1|1|50|2|0|0|0|0|||
|~ふるまいカブリ|100|15|25|100|1|0|0|500|5|1|1|0x00|1|1|50|2|0|0|0|0|||
|~なりきりマスク|130|20|40|100|1|0|0|700|5|2|1|0x00|1|1|50|2|0|0|0|0|||
|~ケロぼうず|6|6|6|75|1|0|0|5|5|0|1|0x00|5|2|10|3|0|0|0|0|||
|~ケロケロぼうず|20|11|14|75|1|0|0|30|5|0|1|0x00|5|2|10|3|20|35|0|0|守備-ｎ％||
|~ジャノメぼうず|65|20|21|75|1|0|0|70|5|0|1|0x00|5|2|10|3|25|0|50|0||武器？率|
|~ドシャブリぼうず|85|46|50|75|1|0|0|1450|5|8|1|0x00|2|2|50|3|18|0|50|0||武器？率|
|~イダテン|35|18|18|50|2|8|4|35|4|8|1|0x00|2|2|5|4|0|0|0|0|||
|~シップウ|60|18|23|75|2|8|4|85|5|8|1|0x00|2|2|5|4|0|0|0|0|||
|~カミカゼ|100|33|55|75|3|8|4|2000|5|8|1|0x00|0|2|5|4|0|0|0|0|||
|~ダイレップウ|133|58|66|75|3|8|4|4000|5|8|1|0x00|0|2|5|4|0|0|0|0|||
|~Mr.ブーン|16|6|8|50|1|0|0|7|2|100|0|0x0E|1|1|100|1|0|0|0|0|||
|~Mr.ヘリコ|18|8|10|50|2|0|0|8|2|85|0|0x03|1|1|100|1|0|0|0|0|||
|~Mr.ジャイロ|20|10|15|50|2|0|0|20|2|75|0|0x07|1|1|100|1|0|0|0|0|||
|~パ王|55|20|19|75|1|0|0|47|4|3|0|0x92|2|3|15|4|30|0|0|0|||
|~パオパ王|66|32|26|75|1|0|0|100|4|3|0|0x93|2|3|10|4|35|0|0|0|||
|~パオパ王ーン|130|98|70|75|1|0|0|3500|5|10|0|0x94|2|3|5|4|23|0|0|0|||
|~ボウヤー|17|11|10|75|1|0|0|14|5|8|0|0x76|1|2|15|2|60|0|0|0|||
|~コドモ戦車|26|10|12|75|1|0|0|20|5|8|0|0x77|1|2|15|3|65|0|0|0|||
|~オヤジ戦車|41|13|17|75|1|16|0|41|4|0|1|0x00|1|2|13|4|40|20|0|0|固定ダメ||
|~イッテツ戦車|95|20|52|75|2|16|0|2300|5|0|1|0x00|1|2|10|4|40|20|0|0|固定ダメ||
|~馬武者|26|12|13|60|1|0|0|21|4|8|1|0x00|1|1|20|4|50|0|0|0|||
|~荒馬ザムライ|79|35|39|75|1|0|0|800|5|8|1|0x00|1|1|20|4|60|0|0|0|||
|~あばれ馬将軍|90|45|58|75|1|0|0|1950|5|8|1|0x00|1|1|20|4|60|0|0|0|||
|~乱れ馬王|110|59|61|75|1|0|0|3100|5|8|1|0x00|2|2|20|4|60|0|0|0|||
|~ウルロイド|52|20|20|75|1|16|0|60|4|10|0|0xCA|0|4|10|4|25|2|15|0|射程|固定ダメ|
|~ゴリボット|95|69|58|75|1|16|0|1750|5|10|0|0xCA|0|4|10|4|25|5|20|0|射程|固定ダメ|
|~ベアボーグ|120|80|63|65|1|16|0|2500|4|16|0|0xCA|0|4|10|4|12|10|25|0|射程|固定ダメ|
|~アイアンヘッド|40|21|19|65|1|0|24|43|4|0|0|0x4C|2|3|15|5|50|0|0|0|||
|~チェインヘッド|69|30|24|65|1|0|24|75|4|3|0|0x4C|2|3|15|5|45|0|0|0|||
|~ギガヘッド|140|120|71|65|1|0|24|3150|4|4|0|0x4C|2|3|5|5|35|0|0|0|||
|~バットカンガルー|44|16|17|75|1|0|0|52|5|8|0|0x9E|3|1|20|4|40|0|0|0|||
|~エビルカンガルー|55|24|20|75|1|0|0|60|5|8|0|0x96|3|1|20|4|40|0|0|0|||
|~デビルカンガルー|65|37|40|75|1|0|0|450|5|8|0|0x9D|3|1|20|4|20|0|0|0|||
|~エスカルゴン|119|25|40|100|1|0|0|800|5|1|1|0x00|1|1|50|3|0|0|0|0|||
|~マゼルン|32|19|16|55|1|0|0|45|4|1|1|0x00|5|5|5|4|0|2|15|0|容量|上昇率（％）|
|~マゼモン|50|25|21|60|1|0|0|58|4|1|1|0x00|5|5|5|4|0|3|15|0|容量|上昇率（％）|
|~マゼゴン|121|48|52|60|1|0|0|2500|4|1|1|0x00|5|5|5|4|0|4|15|0|容量|上昇率（％）|
|~タベラレルー|6|1|1|100|0|0|0|1|5|1|1|0x00|1|1|50|1|0|0|0|0|||
|~スイテキマル|12|7|7|75|1|0|0|9|5|80|0|0xDF|2|2|20|2|80|0|0|0|||
|~ジライヤ|30|17|15|75|1|0|0|35|5|60|0|0xDD|2|2|20|2|50|0|0|0|||
|~ショウカンマル|32|18|16|75|1|0|0|46|5|70|0|0xD4|2|2|20|2|65|0|0|0|||
|~ダイジライヤ|69|33|38|75|1|0|0|300|5|70|0|0xDE|2|2|20|2|80|0|0|0|||
|~ひまガッパ|20|11|14|65|1|0|32|21|5|25|1|0x00|1|1|50|2|70|5|0|0|射程||
|~いやすぎガッパ|50|20|30|65|1|0|32|450|5|0|1|0x00|1|1|50|2|80|10|0|0|射程||
|~たまらんガッパ|70|40|57|65|1|0|32|2050|5|0|1|0x00|1|1|50|2|80|99|0|0|射程||
|~ピコタン|13|9|6|75|1|0|0|10|5|2|1|0x00|3|3|10|2|0|0|0|0|||
|~ポコタン|60|30|29|75|1|0|0|350|5|5|0|0x49|3|3|10|2|0|0|0|0|||
|~パコタン|75|55|40|75|1|0|0|1500|5|5|0|0x49|3|3|10|2|0|0|0|0|||
|~ドスコーイ|72|29|30|75|1|0|0|120|5|16|1|0x00|1|2|10|5|30|0|0|0|||
|~ハッキョーイ|80|75|55|75|1|0|0|1900|5|16|1|0x00|1|2|10|5|30|0|0|0|||
|~ゴッツァーン|105|94|64|75|1|0|0|3000|5|16|1|0x00|1|2|10|5|30|0|0|0|||
|~ヒツジ神官|27|14|14|75|1|0|0|32|5|16|1|0x00|3|3|10|3|30|0|0|0|||
|~ヤギ司祭|29|17|16|60|1|0|0|48|4|16|1|0x00|3|3|10|3|30|0|0|0|||
|~ガゼル教皇|87|55|55|75|1|0|0|2200|5|16|1|0x00|3|3|10|3|40|0|0|0|||
|~タイガーウッホ|33|16|15|65|1|0|8|35|4|16|1|0x00|3|2|15|5|50|5|0|0|射程||
|~タイガーウホホ|40|26|27|65|1|0|8|65|5|16|1|0x00|3|2|15|5|50|10|0|0|射程||
|~タイガーウホーン|72|62|60|65|1|0|8|2400|5|16|1|0x00|3|2|15|5|50|20|0|0|射程||
|~ギャドン|40|23|17|75|1|0|0|90|5|1|1|0x00|1|1|20|4|50|0|0|0|||
|~ギャイラス|65|39|45|75|1|0|0|230|5|3|1|0x00|1|1|20|4|25|0|0|0|||
|~ギャンドラー|86|60|58|75|1|0|0|500|5|1|1|0x00|1|1|20|4|16|0|0|0|||
|~足軽どん|10|5|5|75|1|8|0|6|5|2|1|0x00|2|4|10|2|0|0|0|0|||
|~侍どん|23|12|12|75|1|9|0|18|5|1|1|0x00|2|4|10|2|0|0|0|0|||
|~大将どん|31|16|19|75|1|8|0|38|5|2|1|0x00|2|4|10|2|0|0|0|0|||
|~殿様どん|65|30|33|75|1|8|0|250|5|4|1|0x00|2|4|10|2|0|0|0|0|||
|~テッポーウオー|15|5|10|100|1|0|96|30|5|25|1|0x00|1|1|15|2|30|5|0|0|固定ダメ||
|~テッポウ竜|29|16|15|100|1|0|96|34|5|25|1|0x00|1|1|15|2|25|7|0|0|固定ダメ||
|~キングオトシゴン|75|15|40|100|1|0|96|1800|5|25|1|0x00|1|1|15|2|20|11|0|0|固定ダメ||
|~シャチーン|50|25|35|100|1|0|32|250|5|4|1|0x00|1|1|15|4|100|2|20|0|回復|水に入るHP|
|~シャチーダ|80|55|42|100|1|0|32|900|5|4|1|0x00|1|1|15|4|100|3|20|0|回復|水に入るHP|
|~シャチオーン|90|60|62|100|1|0|32|2000|5|4|1|0x00|1|1|15|4|100|4|20|0|回復|水に入るHP|
|~水龍|55|22|19|100|1|0|96|100|5|16|1|0x00|1|2|15|5|15|15|0|0|固定ダメ||
|~海龍|75|44|43|100|1|0|96|1000|5|16|1|0x00|1|2|15|5|20|20|0|0|固定ダメ||
|~水神龍|100|50|60|100|1|0|96|2500|5|16|1|0x00|1|2|50|5|25|25|0|0|固定ダメ||
|~オトト兵|30|10|3|100|1|0|32|13|5|0|0|0x4E|1|1|50|2|0|0|0|0|||
|~オトト軍曹|40|12|4|100|1|0|32|15|5|3|0|0x4E|1|1|15|2|0|5|15|0|回復|水に入るHP|
|~オトト大将|50|16|5|100|1|0|32|22|5|2|0|0x4E|1|1|15|2|0|7|20|0|回復|水に入るHP|
|~オトトげんすい|100|30|23|100|1|0|32|550|5|2|0|0x4E|1|1|15|2|0|9|25|0|回復|水に入るHP|
|~ゴーレム|43|20|18|75|1|0|24|40|5|1|1|0x00|3|5|10|5|0|0|0|0|||
|~ストーンゴーレム|70|40|40|75|1|0|24|550|5|1|1|0x00|3|5|10|5|0|0|0|0|||
|~マグマゴーレム|95|50|51|75|1|0|24|1250|5|1|1|0x00|3|5|10|5|0|0|0|0|||
|~ヤミキチ|10|6|6|75|1|8|4|6|5|6|1|0x00|1|2|15|3|0|0|0|0|||
|~ワルキチ|21|16|12|75|1|8|4|25|5|3|1|0x00|1|2|15|3|0|0|0|0|||
|~ズルキチ|101|49|35|75|1|8|4|790|5|6|1|0x00|1|2|15|3|0|0|0|0|||
|~毒サソリ|28|15|17|75|1|0|2|30|5|1|1|0x00|1|2|15|5|30|0|0|0|||
|~鬼サソリ|65|27|24|75|1|0|2|95|5|1|1|0x00|1|2|15|5|25|0|0|0|||
|~しびれサソリ|125|108|73|75|1|0|2|4900|5|1|1|0x00|1|2|15|5|20|0|0|0|||
