** デバッグ
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|階|地|縦|横|部|幅|モ|店|店ア&br;表|MH|MH&br;種類|迷|埋|水|氷|ギ|ア|罠|店ア|>|>|>|>|仲間|LV|変|ビ|行商|行ア&br;表|水路|湖|店主|店表|池|島|柱|壁|氷&br;部屋|h
|~1|7|5|3|8|1|6|10|4|8|1|10|0|0|2|400|5|5|9|0|0|0|0|0|1|3|6|0|4|10|0|1|1|10|10|10|10|10|
|~2|8|5|4|8|1|6|9|4|8|1|10|0|0|2|400|5|6|9|0|0|0|0|0|1|3|6|0|4|10|0|1|1|10|10|10|10|10|
|~3|8|6|4|8|1|7|9|4|8|1|10|0|0|2|400|5|7|9|0|0|0|0|0|1|3|6|0|4|10|0|1|1|10|10|10|10|10|
|~4|1|4|3|8|2|7|10|4|8|1|10|0|0|2|400|5|7|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|10|
|~5|8|5|3|9|1|7|20|4|10|1|10|0|5|2|400|5|7|9|0|0|0|0|0|1|3|6|7|4|60|60|1|1|10|10|10|10|10|
|~6|8|7|5|9|1|7|20|4|10|1|10|0|5|2|400|5|7|9|0|0|0|0|0|1|3|6|7|4|60|60|1|1|10|10|10|10|10|
|~7|1|4|6|9|2|7|10|4|0|1|10|0|5|2|400|5|7|9|0|0|0|0|0|1|3|6|7|4|60|60|1|1|10|10|10|10|10|
|~8|2|5|5|9|1|7|20|4|0|1|10|0|5|2|400|5|7|9|0|0|0|0|0|1|3|6|7|4|60|60|1|1|10|10|10|10|10|
|~9|8|7|7|9|1|7|20|4|0|1|10|0|0|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|10|
|~10|5|7|5|9|2|7|10|4|0|11|10|0|0|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|10|
|~11|3|5|7|9|1|8|9|4|10|1|10|0|0|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|10|
|~12|8|5|5|9|1|8|9|4|10|7|10|0|0|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|10|
|~13|1|4|4|9|2|8|10|4|10|1|10|0|5|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~14|8|7|5|9|1|8|20|4|10|1|10|0|5|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~15|3|5|3|9|1|8|20|4|10|1|10|0|5|2|400|5|8|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~16|1|6|6|9|2|8|10|4|10|7|10|0|5|2|450|5|8|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~17|2|5|3|9|1|8|9|4|10|1|10|0|5|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~18|8|5|3|9|2|8|9|4|10|1|10|0|5|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~19|1|8|8|9|1|8|10|4|10|1|10|0|5|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~20|8|5|5|9|2|8|20|4|10|7|10|0|5|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|60|50|1|1|10|10|10|10|10|
|~21|8|7|7|9|1|8|20|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|10|1|1|10|10|10|10|10|
|~22|1|4|8|9|1|8|10|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|20|1|1|10|10|10|10|10|
|~23|4|5|7|9|1|9|9|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|20|1|1|10|10|10|10|10|
|~24|1|5|5|9|2|9|9|4|10|11|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|0|
|~25|1|8|6|9|1|9|10|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|0|1|1|10|10|10|10|0|
|~26|8|7|5|9|2|9|20|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|20|1|1|10|10|10|10|10|
|~27|8|5|7|9|1|9|20|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|4|10|20|1|1|10|10|10|10|10|
|~28|1|6|8|9|1|9|10|4|10|7|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|5|10|20|1|1|10|10|10|10|10|
|~29|5|7|7|9|2|9|20|4|10|1|10|0|0|2|450|5|9|9|0|0|0|0|0|1|3|6|7|5|10|20|1|1|10|10|10|10|10|
|~30|8|7|5|9|1|9|20|5|10|1|10|0|0|2|450|6|9|9|0|0|0|0|0|1|3|6|7|5|10|20|2|2|10|10|10|10|10|
|~31|1|4|6|9|1|9|10|5|10|1|10|1|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~32|8|5|5|9|2|11|9|5|8|7|10|1|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~33|8|7|7|9|1|11|9|5|8|1|10|1|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~34|1|5|5|9|1|11|10|5|8|11|10|1|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~35|4|5|3|9|1|11|20|5|8|1|10|1|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~36|8|5|3|9|2|11|20|5|8|7|10|1|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|2|10|10|10|10|10|
|~37|1|8|4|9|1|11|10|5|8|1|10|0|6|2|450|6|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~38|8|7|5|9|1|11|9|5|8|1|10|0|6|2|450|5|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~39|8|5|7|9|1|11|9|5|8|1|10|0|6|2|450|5|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~40|1|4|5|9|2|11|10|5|8|1|10|0|6|2|450|5|11|9|0|0|0|0|0|1|3|6|7|5|10|20|2|1|10|10|10|10|10|
|~41|4|7|7|9|1|11|20|5|8|7|10|0|6|2|450|4|11|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~42|8|7|5|9|1|11|20|5|8|1|10|0|6|2|450|4|11|9|0|0|0|0|0|1|3|7|7|5|10|20|2|2|10|10|10|10|10|
|~43|1|5|7|9|2|11|10|5|8|1|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~44|2|5|5|9|1|11|9|5|8|1|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~45|8|7|7|9|1|11|9|5|8|1|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~46|1|7|5|9|2|11|10|5|8|7|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~47|8|5|7|9|1|11|9|5|8|1|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~48|8|5|5|9|1|11|9|5|8|1|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|2|10|10|10|10|10|
|~49|1|6|6|9|2|11|10|5|8|1|10|0|6|2|450|4|8|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~50|2|7|5|9|2|11|20|5|2|7|10|0|6|2|450|4|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~51|8|5|7|9|2|11|20|5|2|1|10|1|6|2|450|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~52|1|5|5|9|2|11|10|5|2|1|10|1|0|2|450|6|7|9|0|0|0|0|0|1|3|7|7|5|10|0|2|1|10|10|10|10|0|
|~53|1|5|3|9|2|11|9|5|2|1|10|1|0|2|450|6|7|9|0|0|0|0|0|1|3|7|7|5|10|0|2|1|10|10|10|10|0|
|~54|4|5|3|9|1|11|9|5|2|7|10|1|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|2|10|10|10|10|10|
|~55|1|5|3|9|1|11|10|5|2|1|10|1|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~56|1|5|3|9|1|11|20|5|2|7|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~57|8|5|3|9|2|11|20|5|2|1|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~58|1|7|5|9|2|11|10|5|2|1|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~59|1|5|7|9|1|11|9|5|2|1|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|2|10|10|10|10|10|
|~60|8|5|5|9|2|11|9|5|2|1|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~61|1|7|7|9|1|11|10|5|10|1|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~62|5|7|5|10|1|11|9|5|10|11|10|0|6|2|500|5|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~63|8|5|7|10|1|11|9|5|10|1|10|0|6|2|500|5|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~64|2|5|5|10|1|11|10|5|10|7|10|0|6|2|500|5|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~65|1|7|7|10|2|11|20|5|10|1|10|1|6|2|500|5|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|2|10|10|10|10|10|
|~66|8|7|5|10|2|11|20|5|10|1|10|1|6|2|500|5|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~67|1|5|7|10|2|11|10|5|10|1|10|1|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~68|4|5|3|10|1|11|9|5|10|7|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~69|8|5|3|10|1|11|9|5|10|1|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~70|1|5|5|10|1|11|10|5|10|11|10|0|6|2|500|6|7|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~71|1|5|3|10|1|11|20|6|10|1|10|0|6|2|500|6|9|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~72|8|5|5|10|1|11|20|6|10|1|10|0|6|2|500|6|9|9|0|0|0|0|0|1|3|7|7|5|10|20|2|1|10|10|10|10|10|
|~73|1|7|8|10|2|11|10|6|10|1|10|0|6|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|20|2|1|10|10|10|10|10|
|~74|3|7|5|10|2|11|9|6|10|7|10|0|6|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~75|8|5|7|10|2|11|9|6|10|1|10|0|6|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~76|1|5|5|10|2|11|10|6|10|6|10|0|2|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~77|1|7|7|10|1|11|20|6|10|1|10|0|2|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~78|1|7|5|10|1|11|20|6|10|7|10|1|2|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~79|1|5|7|10|1|11|10|6|10|1|10|1|2|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~80|1|5|5|10|1|11|9|6|10|1|10|1|0|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|10|2|1|10|10|10|10|10|
|~81|1|7|7|10|1|11|9|6|10|1|10|0|0|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|5|2|1|10|10|10|10|0|
|~82|1|7|5|10|1|11|10|6|10|1|10|0|0|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|5|2|1|10|10|10|10|0|
|~83|1|6|7|10|2|11|20|6|10|1|10|0|0|2|500|6|9|9|0|0|0|0|0|1|3|7|7|6|10|5|2|1|10|10|10|10|0|
|~84|1|5|5|10|2|11|20|6|10|1|10|0|0|2|500|6|9|9|0|0|0|0|0|1|3|7|0|6|10|5|2|1|10|10|10|10|0|
|~85|1|5|3|10|1|11|20|6|10|1|10|0|0|2|500|6|9|9|0|0|0|0|0|1|3|7|0|6|10|5|2|1|10|10|10|10|0|
|~86|1|5|4|10|1|11|20|6|10|1|10|0|0|2|500|6|9|9|0|0|0|0|0|1|3|7|0|6|10|5|2|1|10|10|10|10|0|
|~87|1|5|3|10|1|11|20|6|10|1|10|0|0|2|500|5|9|9|0|0|0|0|0|1|3|7|0|6|10|5|2|1|10|10|10|10|0|
|~88|1|5|3|10|1|11|5|6|10|1|10|0|0|2|500|5|9|9|0|0|0|0|0|1|3|7|0|6|10|5|2|1|10|10|10|10|0|
|~89|1|5|4|10|1|11|5|6|10|1|10|0|0|2|500|5|9|9|0|0|0|0|0|1|3|7|0|6|10|5|2|1|10|10|10|10|0|
